,DHI,DNI,WS,RH,T,TARGET
306,62,971,2.2,24.59,3.9,49.3618678
307,66,1003,2.4,23.25,4.7,57.71346347
308,69,1026,2.6,21.98,5.5,64.93880582
309,70,1043,2.7,21.09,6.1,70.75655593
310,70,1056,2.9,20.43,6.7,75.26045576
311,72,1063,2.9,19.72,7.2,78.26293663
312,72,1066,2.9,19.25,7.7,79.57626565
313,71,1066,2.9,18.86,8.0,79.38832402
314,71,1063,2.9,18.61,8.3,77.60511523
315,69,1055,2.8,18.49,8.4,74.22681823
316,67,1043,2.7,18.6,8.5,69.34710289
317,65,1021,2.7,18.85,8.3,62.87234245
318,63,992,2.6,19.23,8.2,55.17757909
319,59,956,2.6,20.17,7.5,46.54471053
320,54,905,2.6,21.64,6.8,37.06714134
321,53,788,2.6,21.64,6.8,26.36928283
322,57,447,1.4,36.24,1.9,13.60765809
323,35,198,1.4,40.36,0.4,5.161610572
324,7,37,1.3,40.69,-1.2,0.656943806
325,0,0,1.3,41.34,-1.4,0.0
326,0,0,1.2,40.3,-1.7,0.0
327,0,0,1.2,41.2,-2.0,0.0
328,0,0,1.2,41.68,-2.3,0.0
329,0,0,1.3,42.3,-2.5,0.0
330,0,0,1.3,43.24,-2.7,0.0
331,0,0,1.4,43.24,-2.7,0.0
332,0,0,1.5,44.09,-2.8,0.0
333,0,0,1.6,44.04,-2.8,0.0
334,0,0,1.6,44.74,-2.8,0.0
335,0,0,1.7,44.74,-2.8,0.0
288,0,0,3.2,46.93,13.1,0.0
289,0,0,3.2,47.55,12.9,0.0
290,0,0,3.2,49.59,12.7,0.0
291,0,0,3.2,50.18,12.5,0.0
292,0,0,3.2,51.55,12.4,0.0
293,0,0,3.1,51.89,12.3,0.0
294,0,0,3.1,53.14,12.2,0.0
295,0,0,3.0,53.84,12.0,0.0
296,0,0,3.0,55.3,11.9,0.0
297,0,0,2.9,56.1,11.7,0.0
298,0,0,2.8,57.15,11.6,0.0
299,0,0,3.0,56.03,11.9,0.0
300,11,123,3.1,55.39,12.2,1.126023537
301,30,479,3.6,48.63,14.2,7.506658558
302,42,662,4.0,43.85,16.1,16.42047266
303,50,771,4.8,38.89,18.0,25.99071963
304,56,841,5.5,33.88,19.8,35.46677847
305,60,890,5.8,31.28,21.1,44.37975263
306,64,926,6.1,25.69,22.4,52.63569861
307,65,953,6.3,24.04,23.5,59.7656588
308,67,972,6.5,20.14,24.5,65.86347139
309,68,984,6.6,19.18,25.3,70.46015957
310,70,991,6.8,16.73,26.2,73.74319240000001
311,73,991,6.9,16.15,26.8,75.43147027
312,76,987,7.1,14.6,27.4,75.71243158
313,92,948,7.1,14.33,27.7,73.5543378
314,94,936,7.2,13.17,28.0,70.83334425
315,77,960,7.2,13.17,28.0,67.54967928
316,73,947,7.3,12.54,28.0,62.10817734
317,71,922,7.2,12.83,27.6,55.35345281
318,68,888,7.2,12.96,27.2,47.47283099
319,63,843,7.0,13.58,26.4,38.74792812
320,56,780,6.7,14.71,25.6,29.36612146
321,48,686,6.7,14.71,25.6,19.79633108
322,36,538,5.5,18.84,22.7,10.50834011
323,18,240,5.1,20.64,21.2,2.720954358
324,0,0,4.7,23.98,19.8,0.0
325,0,0,4.5,25.04,19.1,0.0
326,0,0,4.4,26.91,18.5,0.0
327,0,0,3.9,28.12,17.8,0.0
328,0,0,3.4,30.62,17.2,0.0
329,0,0,3.2,31.6,16.7,0.0
330,0,0,2.9,34.11,16.2,0.0
331,0,0,3.1,34.54,16.0,0.0
332,0,0,3.2,35.87,15.8,0.0
333,0,0,3.3,36.33,15.6,0.0
334,0,0,3.5,37.37,15.5,0.0
335,0,0,3.5,38.09,15.2,0.0
288,0,0,2.4,38.06,16.7,0.0
289,0,0,2.5,38.31,16.6,0.0
290,0,0,2.5,37.37,16.5,0.0
291,0,0,2.5,37.61,16.4,0.0
292,0,0,2.6,37.37,16.3,0.0
293,0,0,2.5,37.85,16.1,0.0
294,0,0,2.4,38.59,16.0,0.0
295,0,0,2.3,39.08,15.8,0.0
296,0,0,2.2,40.32,15.6,0.0
297,0,0,2.1,40.84,15.4,0.0
298,0,0,2.0,41.57,15.3,0.0
299,0,0,2.2,38.8,16.4,0.0
300,19,260,2.4,37.12,17.5,2.908724682
301,34,561,2.8,32.16,19.8,10.79015747
302,44,702,3.2,28.08,22.1,20.078568
303,52,787,2.7,24.6,24.3,29.74183238
304,59,843,2.3,21.41,26.4,39.21703137
305,65,883,2.2,19.96,27.6,48.12935813
306,69,910,2.0,18.3,28.7,56.19714795
307,74,929,1.8,17.45,29.5,63.32678006
308,79,942,1.5,16.65,30.2,69.33056345
309,78,957,1.4,16.09,30.8,74.11472781
310,88,950,1.3,15.41,31.4,77.21015018
311,232,669,1.5,15.15,31.7,71.48716938
312,160,814,1.6,14.65,32.1,75.80233445
313,187,761,1.9,14.57,32.2,73.73832844
314,120,882,2.1,14.33,32.3,74.58257845
315,83,941,2.4,14.4,32.2,72.33110843
316,82,924,2.7,14.39,32.1,67.07756081
317,79,903,2.8,14.71,31.7,60.60460816
318,109,759,3.0,14.94,31.3,50.09752798
319,81,795,3.0,15.45,30.7,43.62453964
320,101,603,3.1,15.93,30.1,31.99154009
321,100,361,3.1,15.93,30.1,19.79535179
322,65,385,2.0,21.62,27.2,13.69769432
323,37,301,2.0,23.9,25.5,6.661331998
324,8,36,1.9,27.97,23.7,0.844410905
325,0,0,2.2,29.03,23.1,0.0
326,0,0,2.6,30.95,22.4,0.0
327,0,0,2.8,32.09,21.8,0.0
328,0,0,3.0,35.04,21.1,0.0
329,0,0,3.0,36.13,20.6,0.0
330,0,0,3.1,38.13,20.0,0.0
331,0,0,2.9,39.32,19.5,0.0
332,0,0,2.7,40.21,19.0,0.0
333,0,0,2.5,41.22,18.6,0.0
334,0,0,2.3,40.72,18.2,0.0
335,0,0,2.1,41.5,17.9,0.0
288,0,0,1.3,78.49,6.2,0.0
289,0,0,1.3,79.57,6.0,0.0
290,0,0,1.3,77.94,5.8,0.0
291,0,0,1.3,79.57,5.5,0.0
292,0,0,1.3,78.69,5.3,0.0
293,0,0,1.4,79.89,5.1,0.0
294,0,0,1.4,80.15,4.9,0.0
295,0,0,1.5,80.71,4.8,0.0
296,0,0,1.5,81.21,4.8,0.0
297,0,0,1.6,80.65,4.9,0.0
298,1,0,1.7,81.04,5.1,0.093842617
299,6,0,2.1,78.38,5.6,0.563052611
300,8,0,2.4,77.29,6.2,0.750731864
301,12,0,2.8,75.72,6.5,1.126094083
302,18,0,3.2,73.83,6.9,1.689133698
303,25,0,3.7,72.33,7.2,2.34601129
304,38,0,4.2,67.21,7.4,3.565929322
305,89,0,4.5,65.85,7.7,8.351754296000001
306,89,1,4.9,60.75,8.0,8.445566385
307,179,10,4.9,60.01,8.2,17.54797158
308,237,17,5.0,56.48,8.5,23.55361681
309,213,14,5.0,55.72,8.7,21.11375352
310,257,18,4.9,53.83,8.9,25.61796463
311,177,13,4.9,53.83,8.9,17.73551397
312,141,8,4.8,52.93,9.0,13.88811208
313,105,3,4.8,53.29,8.9,10.13457941
314,198,12,4.7,52.98,8.8,19.61230949
315,241,16,4.6,54.07,8.5,23.92897326
316,164,10,4.6,54.02,8.3,16.14036254
317,161,11,4.5,55.88,7.8,15.85893174
318,289,52,4.5,56.72,7.3,30.591953600000004
319,209,40,4.5,59.58,6.6,21.95881048
320,89,0,4.4,62.16,5.8,8.351928702
321,81,0,4.4,62.16,5.8,7.601193537999999
322,99,1,4.1,68.1,4.4,9.290490606
323,75,1,4.0,71.53,3.7,7.0383046060000005
324,42,0,3.9,74.57,3.0,3.941480902
325,19,0,3.9,77.36,2.5,1.783060682
326,2,0,3.8,78.57,2.0,0.18769163
327,0,0,3.8,80.84,1.6,0.0
328,0,0,3.8,79.99,1.2,0.0
329,0,0,3.8,82.43,0.8,0.0
330,0,0,3.8,80.27,0.5,0.0
331,0,0,3.7,82.63,0.1,0.0
332,0,0,3.7,79.78,-0.2,0.0
333,0,0,3.5,81.54,-0.5,0.0
334,0,0,3.4,78.95,-0.9,0.0
335,0,0,3.2,80.7,-1.2,0.0
288,0,0,1.7,74.33,-2.6,0.0
289,0,0,1.5,74.33,-2.6,0.0
290,0,0,1.3,74.28,-2.6,0.0
291,0,0,1.2,74.28,-2.6,0.0
292,0,0,1.0,73.77,-2.5,0.0
293,0,0,0.9,73.77,-2.5,0.0
294,0,0,0.7,73.63,-2.4,0.0
295,0,0,0.7,73.63,-2.4,0.0
296,0,0,0.6,74.22,-2.4,0.0
297,0,0,0.5,74.22,-2.4,0.0
298,0,0,0.4,74.38,-2.3,0.0
299,0,0,0.4,74.38,-2.3,0.0
300,0,0,0.3,74.05,-2.2,0.0
301,0,0,0.5,73.51,-2.1,0.0
302,6,6,0.7,73.06,-2.0,0.5630996420000001
303,33,37,1.1,70.42,-1.5,3.472428709
304,66,52,1.5,70.49,-1.0,7.038668166
305,96,150,2.0,67.47,-0.4,12.57567087
306,114,101,2.4,65.63,0.3,13.70174494
307,138,384,2.7,61.96,1.1,26.55862827
308,165,196,2.9,60.02,1.8,23.27381321
309,169,68,2.9,57.11,2.5,18.76905981
310,202,45,2.9,56.0,3.1,21.02120837
311,198,298,2.9,54.06,3.6,32.5639251
312,146,617,2.9,53.01,4.0,42.69890716
313,123,680,2.8,51.91,4.3,42.79260982
314,117,674,2.8,51.13,4.6,40.4463904
315,82,810,2.8,50.78,4.7,40.44634595
316,81,818,2.7,50.8,4.7,37.06799686
317,69,818,2.4,51.87,4.4,31.62520539
318,59,761,2.1,53.85,4.1,24.21166141
319,56,518,1.5,60.28,2.5,14.35833076
320,33,428,0.9,63.58,0.9,7.320062042000001
321,14,169,0.9,63.58,0.9,1.689245087
322,0,0,1.1,67.82,-1.7,0.0
323,0,0,1.5,69.85,-2.1,0.0
324,0,0,1.9,69.41,-2.5,0.0
325,0,0,2.5,67.38,-2.1,0.0
326,0,0,3.1,65.51,-1.8,0.0
327,0,0,3.3,64.56,-1.6,0.0
328,0,0,3.5,63.17,-1.4,0.0
329,0,0,3.6,62.71,-1.3,0.0
330,0,0,3.7,61.6,-1.1,0.0
331,0,0,3.6,61.6,-1.1,0.0
332,0,0,3.6,61.09,-1.0,0.0
333,0,0,3.6,61.61,-1.1,0.0
334,0,0,3.5,61.09,-1.1,0.0
335,0,0,3.4,61.54,-1.2,0.0
288,0,0,2.0,53.05,2.6,0.0
289,0,0,2.1,53.43,2.5,0.0
290,0,0,2.2,52.86,2.3,0.0
291,0,0,2.2,53.24,2.2,0.0
292,0,0,2.2,52.3,2.1,0.0
293,0,0,2.2,52.67,2.0,0.0
294,0,0,2.1,51.73,1.9,0.0
295,0,0,2.1,52.1,1.8,0.0
296,0,0,2.0,51.27,1.7,0.0
297,0,0,2.0,51.64,1.6,0.0
298,0,0,2.0,50.87,1.5,0.0
299,0,0,1.9,50.51,1.6,0.0
300,0,0,1.9,49.74,1.7,0.0
301,22,363,2.2,43.11,3.7,4.035294641
302,33,646,2.4,42.9,5.7,12.38714382
303,42,780,2.4,36.89,7.9,21.86465701
304,48,861,2.3,32.5,10.1,31.24787438
305,53,915,1.7,29.03,11.8,40.16168271
306,56,952,1.0,25.12,13.5,48.23065232
307,59,979,1.0,23.55,14.5,55.36142431
308,60,998,1.0,21.07,15.4,61.1784603
309,60,1013,1.1,20.03,16.2,65.68181846
310,59,1022,1.2,18.3,17.0,68.68381190000001
311,60,1022,1.2,17.71,17.5,70.09088184
312,60,1021,1.1,16.9,18.0,70.09049662
313,60,1017,1.0,16.58,18.3,68.68283044
314,59,1007,0.9,16.43,18.5,65.58632915
315,57,992,0.8,16.54,18.4,60.98878513
316,54,975,0.7,17.15,18.3,55.26528297
317,52,949,0.7,17.7,17.8,48.41603182
318,49,909,0.7,19.55,17.2,40.34695928
319,46,855,1.0,20.96,16.1,31.62113879
320,42,776,1.2,25.9,15.1,22.42592059
321,34,651,1.2,25.9,15.1,13.13652252
322,23,416,0.9,41.51,10.1,4.785710491000001
323,3,34,0.9,45.29,8.8,0.187677603
324,0,0,0.9,48.97,7.5,0.0
325,0,0,0.9,50.67,7.0,0.0
326,0,0,0.9,52.63,6.5,0.0
327,0,0,1.1,55.3,5.8,0.0
328,0,0,1.3,58.52,5.2,0.0
329,0,0,1.9,61.95,4.4,0.0
330,0,0,2.4,68.33,3.6,0.0
331,0,0,3.1,73.42,2.6,0.0
332,0,0,3.8,79.09,1.6,0.0
333,0,0,4.0,85.08,0.6,0.0
334,0,0,4.2,80.81,-0.4,0.0
335,0,0,4.1,86.93,-1.4,0.0
288,0,0,2.1,28.88,7.8,0.0
289,0,0,2.1,29.27,7.6,0.0
290,0,0,2.1,28.19,7.5,0.0
291,0,0,2.1,28.58,7.3,0.0
292,0,0,2.1,27.85,7.1,0.0
293,0,0,2.1,27.85,7.1,0.0
294,0,0,2.0,27.41,7.1,0.0
295,0,0,2.0,27.41,7.1,0.0
296,0,0,2.0,27.28,7.2,0.0
297,0,0,1.9,27.09,7.3,0.0
298,0,0,1.9,27.19,7.4,0.0
299,0,0,1.8,27.01,7.5,0.0
300,0,0,1.8,27.26,7.6,0.0
301,13,0,1.9,24.27,9.3,1.219897714
302,44,1,1.9,24.21,11.0,4.128807425
303,77,7,2.4,20.41,13.6,7.412874212999999
304,115,46,3.0,15.86,16.1,12.19806541
305,166,88,3.0,14.16,17.9,18.85971259
306,188,134,3.1,10.78,19.7,23.45688985
307,207,55,3.0,10.06,20.8,22.14303628
308,260,94,2.9,8.64,21.9,29.46114118
309,279,240,2.9,8.27,22.6,40.06309072
310,253,237,2.9,7.71,23.3,37.99865782
311,245,520,2.9,7.47,23.8,54.8866485
312,240,486,2.9,7.15,24.4,52.35307327
313,270,344,2.9,7.06,24.6,46.06685029
314,208,554,2.9,6.98,24.9,51.60220794
315,157,670,2.8,7.01,24.8,51.13315317
316,171,471,2.8,7.17,24.7,39.40540907
317,150,508,2.6,7.42,24.1,36.40333229
318,142,282,2.3,8.83,23.5,23.92502825
319,96,388,1.6,9.84,21.7,20.73543476
320,60,501,0.9,21.14,19.8,16.70128722
321,41,370,0.9,21.14,19.8,8.81978089
322,19,197,1.1,25.34,14.6,2.721151763
323,0,0,1.2,27.74,13.2,0.0
324,0,0,1.3,27.87,11.8,0.0
325,0,0,1.6,29.18,11.1,0.0
326,0,0,2.0,29.64,10.5,0.0
327,0,0,2.3,30.03,10.3,0.0
328,0,0,2.6,30.7,10.2,0.0
329,0,0,2.6,31.32,9.9,0.0
330,0,0,2.6,34.35,9.6,0.0
331,0,0,2.7,34.58,9.5,0.0
332,0,0,2.7,37.21,9.4,0.0
333,0,0,2.9,37.21,9.4,0.0
334,0,0,3.1,39.56,9.4,0.0
335,0,0,3.1,39.83,9.3,0.0
288,0,0,3.2,40.45,0.4,0.0
289,0,0,3.2,40.45,0.4,0.0
290,0,0,3.3,41.68,0.4,0.0
291,0,0,3.4,41.38,0.5,0.0
292,0,0,3.4,41.48,0.6,0.0
293,0,0,3.4,41.48,0.6,0.0
294,0,0,3.4,40.85,0.6,0.0
295,0,0,3.5,40.8,0.6,0.0
296,0,0,3.6,39.72,0.5,0.0
297,0,0,3.7,39.43,0.6,0.0
298,0,0,3.7,37.96,0.7,0.0
299,0,0,3.7,37.42,0.9,0.0
300,0,0,3.7,36.9,1.0,0.0
301,0,0,3.7,36.42,1.2,0.0
302,0,0,3.6,36.58,1.3,0.0
303,11,4,3.6,34.55,2.1,1.032302828
304,40,20,3.7,34.75,2.8,3.941489565
305,71,36,3.5,32.61,3.7,7.31983679
306,101,54,3.4,33.66,4.7,10.79194845
307,71,11,3.1,32.32,5.3,6.94433843
308,42,0,2.7,35.34,5.9,3.94135528
309,89,3,2.5,34.14,6.4,8.445714902999999
310,55,0,2.3,36.86,6.8,5.1612475280000005
311,80,0,1.8,36.81,6.8,7.507269132
312,70,0,1.3,41.22,6.9,6.568853271
313,57,0,1.0,41.84,6.7,5.348935135
314,95,0,0.7,47.12,6.5,8.914911488
315,97,3,0.6,47.44,6.4,9.196445117
316,127,17,0.6,48.5,6.3,12.48090352
317,96,42,0.6,49.86,5.9,10.22875537
318,95,185,0.6,47.34,5.6,13.04405215
319,64,140,0.8,51.16,4.5,8.258204796000001
320,26,324,1.0,49.63,3.4,5.255284766
321,11,178,1.0,49.63,3.4,1.219976821
322,0,0,1.6,52.2,2.1,0.0
323,0,0,1.8,54.16,1.6,0.0
324,0,0,2.1,55.19,1.2,0.0
325,0,0,2.2,57.21,0.7,0.0
326,0,0,2.3,58.42,0.3,0.0
327,0,0,2.4,59.27,0.1,0.0
328,0,0,2.5,58.76,-0.1,0.0
329,0,0,2.5,58.76,-0.1,0.0
330,0,0,2.5,56.99,-0.2,0.0
331,0,0,2.5,56.99,-0.2,0.0
332,0,0,2.5,56.06,-0.3,0.0
333,0,0,2.6,55.66,-0.2,0.0
334,0,0,2.7,54.51,-0.1,0.0
335,0,0,2.8,54.12,0.0,0.0
288,0,0,1.3,40.05,19.8,0.0
289,0,0,1.3,40.8,19.5,0.0
290,0,0,1.3,40.31,19.1,0.0
291,0,0,1.3,40.81,18.9,0.0
292,0,0,1.2,40.2,18.6,0.0
293,0,0,1.3,40.96,18.3,0.0
294,0,0,1.3,40.41,17.9,0.0
295,0,0,1.3,41.18,17.6,0.0
296,0,0,1.3,40.61,17.3,0.0
297,0,0,1.3,40.87,17.2,0.0
298,0,0,1.4,40.14,17.1,0.0
299,6,65,1.4,35.86,18.9,0.5629703070000001
300,27,403,1.5,34.2,20.8,5.911064768999998
301,40,610,2.0,29.21,23.4,14.44885647
302,49,735,2.5,21.78,26.0,24.20583393
303,56,815,2.3,19.27,28.1,34.15007809
304,60,872,2.1,14.24,30.1,43.9062779
305,65,911,2.1,13.45,31.1,53.09974378
306,68,941,2.0,11.18,32.2,61.54242170000001
307,69,963,2.0,10.75,32.9,68.95324977
308,71,979,1.9,9.76,33.6,75.23820509
309,104,918,1.9,9.5,34.1,77.86454732
310,271,574,1.8,8.91,34.6,69.70245859999999
311,197,758,1.8,8.76,34.9,78.42673378
312,149,849,1.8,8.45,35.2,81.6160686
313,165,836,1.8,8.39,35.3,81.61597887
314,121,904,1.9,8.23,35.4,81.1468323
315,154,809,2.0,8.27,35.3,74.48630715
316,114,876,2.2,8.33,35.2,72.14109971
317,113,847,2.3,8.5,34.8,65.57457797
318,76,914,2.4,8.76,34.5,60.8841795
319,72,882,2.4,9.11,33.8,52.44147652
320,85,766,2.4,9.64,33.2,41.65325432
321,63,768,2.4,9.64,33.2,33.21002709
322,61,633,1.4,16.95,30.2,22.70364865
323,48,508,1.2,19.24,28.0,13.41611686
324,30,342,1.1,25.43,25.8,5.6292760820000005
325,5,44,1.1,26.35,25.2,0.469109434
326,0,0,1.1,26.17,24.6,0.0
327,0,0,1.0,26.8,24.2,0.0
328,0,0,1.0,27.24,23.9,0.0
329,0,0,1.0,28.58,23.1,0.0
330,0,0,1.0,30.61,22.3,0.0
331,0,0,1.0,32.29,21.4,0.0
332,0,0,1.1,33.05,20.6,0.0
333,0,0,1.2,34.29,20.0,0.0
334,0,0,1.3,33.2,19.5,0.0
335,0,0,1.4,34.04,19.1,0.0
288,0,0,2.6,56.35,4.7,0.0
289,0,0,2.6,57.14,4.5,0.0
290,0,0,2.5,56.93,4.3,0.0
291,0,0,2.4,57.73,4.1,0.0
292,0,0,2.4,57.63,3.9,0.0
293,0,0,2.4,57.22,4.0,0.0
294,0,0,2.5,54.97,4.1,0.0
295,0,0,2.6,53.83,4.4,0.0
296,0,0,2.7,49.68,4.8,0.0
297,0,0,2.6,49.34,4.9,0.0
298,0,0,2.5,46.24,5.0,0.0
299,3,0,2.7,42.26,6.3,0.28152414
300,11,0,3.0,38.27,7.6,1.03224043
301,20,0,3.2,34.12,9.3,1.876765714
302,63,0,3.4,30.38,11.0,5.91170154
303,142,21,3.2,26.64,13.0,14.07517044
304,219,206,2.9,21.13,15.0,30.0263702
305,234,391,2.8,19.2,16.5,42.97453379
306,271,409,2.6,16.16,18.0,50.29251163
307,323,202,2.4,15.18,19.0,43.8178074
308,335,102,2.2,15.25,19.9,38.75069685
309,353,476,2.0,14.7,20.5,69.43178339
310,401,426,1.8,15.1,21.1,71.40167389
311,380,505,1.8,14.81,21.4,76.65568356
312,418,461,1.7,15.05,21.7,76.93690726
313,446,281,1.7,15.05,21.7,64.64576720000001
314,445,184,1.8,15.36,21.8,56.38906151
315,422,175,1.8,15.45,21.7,53.01140561
316,371,90,1.8,15.91,21.7,41.28321853
317,324,66,1.9,16.3,21.3,34.80941232
318,266,47,1.9,17.28,21.0,27.86638693
319,235,57,1.9,18.15,20.2,25.14564772
320,209,69,2.0,21.83,19.5,22.80014706
321,158,64,2.0,21.83,19.5,17.26430889
322,123,163,1.5,35.55,16.6,16.32655166
323,83,154,1.5,39.41,15.0,10.884559199999998
324,43,97,1.5,42.5,13.5,5.067033513
325,10,18,1.8,45.06,12.6,0.938348822
326,0,0,2.0,45.23,11.7,0.0
327,0,0,2.3,46.75,11.2,0.0
328,0,0,2.6,46.81,10.7,0.0
329,0,0,3.1,47.06,10.6,0.0
330,0,0,3.5,42.0,10.6,0.0
331,0,0,4.1,41.72,10.7,0.0
332,0,0,4.7,31.55,10.8,0.0
333,0,0,5.2,31.76,10.7,0.0
334,0,0,5.6,25.0,10.6,0.0
335,0,0,5.8,25.47,10.3,0.0
288,0,0,0.7,70.47,-1.8,0.0
289,0,0,0.8,72.58,-2.2,0.0
290,0,0,0.9,73.75,-2.5,0.0
291,0,0,0.9,74.76,-2.7,0.0
292,0,0,1.0,75.64,-2.9,0.0
293,0,0,1.0,76.21,-3.0,0.0
294,0,0,1.1,75.91,-3.0,0.0
295,0,0,1.1,75.91,-3.0,0.0
296,0,0,1.1,74.73,-2.9,0.0
297,0,0,1.1,72.55,-2.5,0.0
298,0,0,1.1,69.44,-2.0,0.0
299,25,207,1.3,58.71,0.3,3.472360019
300,48,485,1.4,51.63,2.5,11.44912649
301,56,584,1.3,45.48,4.3,18.9563754
302,78,580,1.2,36.06,6.0,26.08798961
303,101,638,1.3,32.5,7.5,35.65925403
304,135,590,1.4,25.75,9.1,41.75812893
305,142,717,1.5,23.29,10.6,54.14391722
306,145,816,1.7,18.97,12.0,65.6848507
307,131,928,1.8,17.41,13.3,77.03784553
308,169,867,1.9,15.12,14.6,80.79005752
309,166,906,2.0,14.18,15.6,87.07589931
310,172,926,2.1,13.08,16.7,91.86020981
311,139,989,2.1,12.51,17.4,95.70653021
312,127,1005,2.2,12.25,18.1,96.45642748
313,123,1006,2.2,11.95,18.5,95.51771541
314,119,1006,2.3,12.03,18.9,93.26541421
315,114,1003,2.2,11.87,19.1,89.51208204
316,107,997,2.2,12.14,19.2,84.35143951
317,101,979,2.0,12.22,19.1,77.40824705
318,95,960,1.8,12.59,19.0,69.62058478
319,89,933,1.6,12.91,18.6,60.89482236
320,82,898,1.4,13.75,18.2,51.41835035
321,75,849,1.4,13.75,18.2,41.37863596
322,65,781,0.9,20.23,16.3,30.87042074
323,54,680,0.9,23.59,13.9,20.54954556
324,41,517,0.9,33.2,11.5,10.88497794
325,20,186,1.1,37.17,9.8,2.7212953310000003
326,0,0,1.3,36.87,8.2,0.0
327,0,0,1.5,38.93,7.4,0.0
328,0,0,1.7,41.57,6.7,0.0
329,0,0,1.9,41.28,6.8,0.0
330,0,0,2.1,40.61,6.9,0.0
331,0,0,2.2,40.89,6.8,0.0
332,0,0,2.4,40.07,6.8,0.0
333,0,0,2.5,40.9,6.5,0.0
334,0,0,2.6,40.41,6.2,0.0
335,0,0,2.7,41.25,5.9,0.0
288,0,0,1.1,54.11,12.9,0.0
289,0,0,1.2,56.28,12.3,0.0
290,0,0,1.2,55.34,11.8,0.0
291,0,0,1.2,56.75,11.4,0.0
292,0,0,1.2,57.8,10.9,0.0
293,0,0,1.2,58.96,10.6,0.0
294,0,0,1.3,60.37,10.2,0.0
295,0,0,1.3,61.18,10.0,0.0
296,0,0,1.3,61.69,9.7,0.0
297,0,0,1.3,58.87,10.4,0.0
298,18,92,1.4,58.46,11.0,2.064403712
299,46,237,1.7,52.28,12.7,7.412947544
300,77,328,2.0,48.99,14.4,14.35645293
301,103,427,1.5,44.78,15.8,22.70724279
302,142,441,1.0,38.89,17.2,30.58862494
303,161,518,0.7,35.62,18.6,39.78336622
304,189,555,0.4,29.94,19.9,48.50874157
305,239,532,0.6,27.81,21.1,55.82653872
306,271,560,0.9,24.58,22.3,64.27004132
307,233,702,1.2,23.56,23.0,74.59020392
308,369,511,1.5,22.33,23.8,75.43395794
309,442,430,1.9,21.93,24.1,77.49781565
310,476,385,2.3,21.77,24.5,77.96658792
311,498,374,2.8,22.03,24.3,79.65557001
312,502,369,3.3,22.9,24.1,79.74956816
313,491,391,3.7,23.57,23.6,80.40677125
314,469,392,4.0,24.92,23.1,77.78013972
315,436,398,4.0,25.53,22.7,74.02750311
316,385,450,4.0,26.03,22.4,71.77595265
317,316,538,3.9,26.35,22.2,69.5243109
318,276,529,3.8,26.37,22.0,62.01844877
319,196,621,3.7,26.53,21.9,56.67047539
320,119,751,3.6,26.7,21.8,51.88544262
321,110,685,3.6,26.7,21.8,41.93995091
322,108,553,2.9,29.55,20.9,31.0565125
323,84,472,2.0,31.82,19.7,21.67416622
324,53,511,1.1,43.72,18.5,15.38792272
325,37,370,0.9,47.14,17.3,7.787892881
326,14,92,0.8,47.65,16.0,1.5951333840000002
327,0,0,0.8,49.51,15.4,0.0
328,0,0,0.7,50.35,14.8,0.0
329,0,0,0.9,52.67,14.1,0.0
330,0,0,1.1,55.92,13.5,0.0
331,0,0,1.4,58.91,12.7,0.0
332,0,0,1.7,62.06,12.0,0.0
333,0,0,1.7,64.99,11.3,0.0
334,0,0,1.7,66.24,10.6,0.0
335,0,0,1.5,68.48,10.1,0.0
288,0,0,1.4,68.1,-2.3,0.0
289,0,0,1.2,68.6,-2.4,0.0
290,0,0,1.0,69.31,-2.5,0.0
291,0,0,1.0,69.74,-2.6,0.0
292,0,0,0.9,70.42,-2.7,0.0
293,0,0,1.1,70.94,-2.8,0.0
294,0,0,1.2,71.21,-2.9,0.0
295,0,0,1.3,71.74,-3.0,0.0
296,0,0,1.5,72.03,-3.0,0.0
297,0,0,1.6,72.03,-3.0,0.0
298,0,0,1.6,72.27,-2.9,0.0
299,0,0,1.7,71.12,-2.7,0.0
300,0,0,1.7,71.59,-2.5,0.0
301,8,67,2.0,63.65,-0.9,0.7507904459999999
302,31,343,2.2,64.09,0.8,6.1000584060000005
303,49,515,1.9,57.98,2.2,13.98299566
304,59,662,1.7,59.82,3.6,23.27335281
305,64,763,1.5,53.49,5.2,32.65719499
306,81,785,1.4,53.15,6.8,40.82077591
307,102,788,1.5,49.31,7.9,48.04594157
308,131,766,1.6,48.62,9.0,54.05103079
309,124,837,1.6,46.39,9.7,61.08845543
310,124,880,1.7,45.46,10.3,66.71828783
311,242,537,1.5,44.8,10.5,57.52211046
312,352,145,1.4,44.39,10.7,42.60192617
313,346,134,1.3,44.1,10.8,41.28816501
314,284,384,1.2,44.19,10.9,51.42247626
315,222,607,1.4,44.43,10.8,58.46028818
316,208,597,1.5,45.56,10.7,54.33153139
317,247,292,1.4,47.41,10.1,38.75487123
318,192,24,1.3,49.25,9.6,19.14294717
319,155,99,1.2,55.23,7.9,18.58026647
320,125,354,1.0,63.48,6.2,23.55421223
321,102,167,1.0,63.48,6.2,13.794698
322,67,154,1.1,70.96,2.6,8.821448417000001
323,29,93,1.1,76.84,1.5,3.4723142260000004
324,3,6,1.1,76.7,0.4,0.281542395
325,0,0,1.2,78.38,0.1,0.0
326,0,0,1.3,78.54,-0.3,0.0
327,0,0,1.5,77.41,-0.1,0.0
328,0,0,1.6,76.94,0.1,0.0
